block_id,route_id,trip_headsign,service_id,shape_id,trip_id
b_2236,22,Laurentian West to Forest Glen,muwtf_merged_999113,2201,416677_merged_1007362
a_704,7,A Fairview Park via Connaught,s_merged_999107,714,420360_merged_1002293
b_806,8,Fairview via Westmnt & Franklin/East TR,a_merged_999110,818,426130_merged_1011724
a_2031,6,Downtown,a_merged_999103,601,417522_merged_1001792
a_1285,10,Fairview Park via Becthel,s_merged_999107,1012,420212_merged_1004915
a_5631,56,Dunbar,s_merged_999107,5601,420462_merged_1001432
b_1233,7,C Conestoga Mall,s_merged_999114,710,420409_merged_1008920
b_931,5,Erb West,muwtf_merged_999113,501,415590_merged_1006649
b_936,35,Eastbridge to Conestoga Mall,muwtf_merged_999113,3511,416186_merged_1007789
b_1236,12,Fairview Park,muwtf_merged_999113,1211,414710_merged_1008453
a_1032,10,Conestoga College via Bechtel,muwtf_merged_999106,1002,415818_merged_1003862
a_706,7,A Fairview Park via Connaught,muwtf_merged_999106,714,414441_merged_1002843
a_132,25,Queen South via Overlea,muwtf_merged_999106,2502,415221_merged_999318
a_302,3,Ottawa South,a_merged_999103,300,417537_merged_1005038
a_5631,56,Dunbar,a_merged_999103,5601,418863_merged_1000428
a_1233,12,Fairview Park,a_merged_999103,1211,418281_merged_1001338
a_806,8,University via Franklin & Westmount,muwtf_merged_999106,803,426865_merged_1004985
a_805,8,University via Franklin & Westmount,a_merged_999103,803,426089_merged_999349
a_2532,25,Queen South to Downtown,a_merged_999103,2511,418086_merged_1000109
a_5203,52,Fairview Park,muwtf_merged_999106,5201,413523_merged_1001724
a_2401,24,Highland,a_merged_999103,2401,417989_merged_1003482
b_2533,25,Queen South via Overlea,muwtf_merged_999113,2502,415223_merged_1006097
a_936,9,Lakeshore to UW,muwtf_merged_999106,901,416335_merged_1000675
b_5333,53,Ainslie St. Terminal,muwtf_merged_999113,5311,413755_merged_1006734
a_301,3,Ottawa South to Downtown,a_merged_999103,301,417562_merged_1001310
b_802,8,University via Franklin & Westmount,muwtf_merged_999113,803,426872_merged_1007381
a_8001,200,iXpress to Ainslie Terminal,muwtf_merged_999106,20011,415933_merged_1000461
a_5201,52,Fairview Park,a_merged_999103,5201,418652_merged_999763
b_5136,51,Hespeler Road to Hespeler,muwtf_merged_999113,5101,415124_merged_1007085
a_5632,64,Langs,a_merged_999103,6401,418962_merged_999167
b_2532,15,Frederick,a_merged_999110,1501,418549_merged_1009217
b_5532,55,St. Andrews,muwtf_merged_999113,5500,416568_merged_1009469
a_706,7,B Fairview Park via Weber,a_merged_999103,713,418494_merged_1005749
b_8026,200,iXpress to Ainslie Terminal,muwtf_merged_999113,20011,415918_merged_1011720
b_5135,51,Hespeler Road to Hespeler,muwtf_merged_999113,5101,415142_merged_1006298
b_803,8,Fairview via Westmnt & Franklin/East TR,s_merged_999114,818,425704_merged_1007461
a_5532,63,Champlain,a_merged_999103,6300,419505_merged_999489
a_5231,59,Christopher via South Cambridge Mall,s_merged_999107,5901,420468_merged_1001426
a_803,8,Fairview via Weber & Courtland TA,a_merged_999103,824,426225_merged_999361
b_6101,61,Conestoga College,muwtf_merged_999113,6100,415973_merged_1006720
a_5681,64,Cambridge Centre,muwtf_merged_999106,6411,416641_merged_1004269
b_1285,7,C King and University,s_merged_999114,721,420407_merged_1009902
a_2531,25,Queen South,muwtf_merged_999106,2501,415214_merged_1002635
a_884,8,University via Weber,muwtf_merged_999106,808,423923_merged_1002276
b_5632,64,Langs,a_merged_999110,6401,418953_merged_1012358
b_708,7,D UW via University,muwtf_merged_999113,708,414383_merged_1006509
a_334,3,Ottawa South to Downtown,muwtf_merged_999106,301,414244_merged_1000698
b_1232,10,Conestoga College via Bechtel,s_merged_999114,1002,420189_merged_1011937
b_3131,31,Conestoga Mall,muwtf_merged_999113,3101,416158_merged_1009877
a_132,25,Queen South to Downtown,muwtf_merged_999106,2511,415276_merged_1002422
b_5331,66,Winston,a_merged_999110,6600,419049_merged_1008649
b_6101,61,Cambridge Centre,muwtf_merged_999113,6111,415992_merged_1005896
a_501,5,Erb West,s_merged_999107,501,420659_merged_1003033
a_233,18,Downtown,muwtf_merged_999106,1801,414884_merged_1005002
b_301,3,Ottawa South to Downtown,s_merged_999114,301,419953_merged_1011035
a_6102,61,Conestoga College,muwtf_merged_999106,6100,415968_merged_1002858
a_5134,58,Elmwood,s_merged_999107,5800,420682_merged_1004820
b_8002,200,iXpress to Ainslie Terminal,muwtf_merged_999113,20011,415953_merged_1006459
b_301,3,Ottawa South to Downtown,a_merged_999110,301,417562_merged_1008087
a_807,8,University via Westmount,muwtf_merged_999106,807,426874_merged_1000601
a_2032,6,Downtown,a_merged_999103,601,417498_merged_1002972
a_1233,12,Fairview Park,muwtf_merged_999106,1211,414696_merged_1002059
b_1135,200,iXpress to Conestoga Mall,muwtf_merged_999113,20001,415900_merged_1012372
a_713,7,A Fairview Park via Connaught,muwtf_merged_999106,714,414426_merged_1003139
b_5381,53,Ainslie St. Terminal,muwtf_merged_999113,5311,413761_merged_1010487
a_702,7,A Fairview Park via Connaught,s_merged_999107,714,420361_merged_1002292
a_5431,54,Lisbon Pines,a_merged_999103,5400,418831_merged_1001945
b_1131,11,Downtown,a_merged_999110,1111,417854_merged_1006816
a_2531,25,Queen South to Downtown,a_merged_999103,2511,418065_merged_1005201
a_2534,1,Stanley Park via Becker/River,muwtf_merged_999106,103,414121_merged_1004587
a_2231,22,Laurentian West to Forest Glen,a_merged_999103,2211,418133_merged_1001376
a_1235,13,Laurelwood,s_merged_999107,1301,420592_merged_1004092
b_712,7,F Fairview Park via Wilson,a_merged_999110,717,418427_merged_1009919
a_5136,51,Hespeler Road to Hespeler,a_merged_999103,5101,418823_merged_1000845
a_2101,21,Elmira,a_merged_999103,2101,419464_merged_1005005
b_501,5,Uptown,s_merged_999114,511,420672_merged_1010021
b_807,8,University via Westmount,muwtf_merged_999113,807,426874_merged_1007378
a_632,18,Guelph Street,muwtf_merged_999106,1800,414871_merged_1000742
b_6781,56,Cambridge Centre,muwtf_merged_999113,5611,413701_merged_1009785
a_802,8,Fairview via Weber & Courtland TA,a_merged_999103,824,426224_merged_999360
b_333,3,Ottawa South,muwtf_merged_999113,300,414253_merged_1010764
b_131,25,Queen South to Downtown via Westheights,s_merged_999114,2512,420171_merged_1009135
a_7501,75,Saginaw,muwtf_merged_999106,7500,420841_merged_1001219
b_5532,63,Champlain,a_merged_999110,6300,419502_merged_1006265
a_938,13,Laurelwood,muwtf_merged_999106,1301,416236_merged_1001573
a_1238,12,Conestoga Mall,muwtf_merged_999106,1201,414675_merged_1002687
b_2031,6,Bridgeport,a_merged_999110,600,417474_merged_1010465
b_806,8,University via Weber,a_merged_999110,808,426415_merged_1011165
b_2232,2,Downtown via Southmoor,a_merged_999110,222,419101_merged_1006804
b_132,1,Stanley Park via Lorraine,s_merged_999114,102,419964_merged_1009444
a_804,8,Fairview via Westmnt & Franklin/East TR,s_merged_999107,818,425721_merged_1000477
a_8004,200,iXpress to Ainslie Terminal,a_merged_999103,20011,419630_merged_1005343
a_933,35,Eastbridge to Uptown Waterloo,muwtf_merged_999106,3501,416208_merged_1005260
a_8023,200,iXpress to Ainslie Terminal,a_merged_999103,20011,419637_merged_1005344
b_931,9,Lakeshore to Conestoga Mall,muwtf_merged_999113,911,416387_merged_1011431
a_932,29,Keats Way to UW,muwtf_merged_999106,2911,421109_merged_1004886
b_706,7,A Fairview Park via Connaught,a_merged_999110,715,418485_merged_1009324
b_1001,10,Fairview Park via Becthel,a_merged_999110,1012,418214_merged_1012303
b_5832,58,Elmwood,muwtf_merged_999113,5800,416533_merged_1011233
b_1131,20,Victoria Hills to Downtown,s_merged_999114,2011,420131_merged_1009631
a_5633,64,Langs,muwtf_merged_999106,6401,416603_merged_1004751
a_431,4,Downtown from TBW,a_merged_999103,402,419738_merged_999333
b_806,8,University via Courtland & Weber,muwtf_merged_999113,801,426828_merged_1012206
a_1135,11,Country Hills,muwtf_merged_999106,1101,414609_merged_999653
b_801,8,Fairview via Weber & Courtland TR,a_merged_999110,823,426204_merged_1006394
a_1281,27,Chicopee,muwtf_merged_999106,2701,415172_merged_1003091
b_933,5,Erb West to Thorndale only,muwtf_merged_999113,512,415625_merged_1006685
b_706,7,F Fairview Park via Wilson,muwtf_merged_999113,717,414418_merged_1006595
b_2533,25,Queen South,muwtf_merged_999113,2501,415299_merged_1008527
a_9913,9913,SMH-Ottawa South trip,muwtf_merged_999106,991302,427610_merged_1001777
b_2401,24,Highland,a_merged_999110,2401,417989_merged_1010259
a_932,13,Laurelwood to UW,muwtf_merged_999106,1311,416300_merged_1003702
a_2231,23,Idlewood,a_merged_999103,2301,417946_merged_1004864
a_8022,200,iXpress to Conestoga Mall,a_merged_999103,20001,419604_merged_1001658
a_2402,24,Highland to Downtown,muwtf_merged_999106,2411,413492_merged_1002892
b_8001,200,iXpress to Ainslie Terminal,muwtf_merged_999113,20011,415944_merged_1009991
a_232,2,Downtown,muwtf_merged_999106,221,415013_merged_1002036
b_1232,27,Fairview Park,a_merged_999110,2711,419130_merged_1010365
a_5331,66,Winston,muwtf_merged_999106,6600,413912_merged_1000068
a_937,13,Laurelwood to UW,muwtf_merged_999106,1311,416304_merged_1003698
b_708,7,C Conestoga Mall,muwtf_merged_999113,701,414256_merged_1010767
a_1234,12,Conestoga Mall,muwtf_merged_999106,1201,414688_merged_1005471
b_1233,17,Heritage Park,muwtf_merged_999113,1700,414833_merged_1007069
a_302,3,Ottawa South,a_merged_999103,300,417553_merged_1004784
a_803,8,Fairview via Franklin/East TR,s_merged_999107,813,425713_merged_1004166
a_706,7,D UW via University,a_merged_999103,708,418289_merged_1001336
b_752,7,B Fairview Park via Weber,muwtf_merged_999113,713,414477_merged_1012564
a_701,7,D UW via University,s_merged_999107,702,420331_merged_999134
b_706,7,B Fairview Park via Weber,s_merged_999114,713,420400_merged_1009903
b_5681,64,Cambridge Centre,muwtf_merged_999113,6411,416649_merged_1011050
a_1281,17,Fairview Park,a_merged_999103,1701,418622_merged_1003083
a_934,7,A Fairview Park via Connaught,a_merged_999103,714,418533_merged_1005645
a_5131,51,Hespeler Road to Hespeler,s_merged_999107,5101,420440_merged_1000259
a_803,8,Fairview via Westmnt & Franklin/East TR,s_merged_999107,818,425726_merged_1000478
a_5133,65,Fisher Mills on detour,a_merged_999103,6501,419001_merged_1004254
a_801,8,Fairview via Weber & Courtland TR,s_merged_999107,823,425733_merged_1003976
b_131,15,Downtown,a_merged_999110,1511,418578_merged_1006099
b_5631,56,Cambridge Centre,muwtf_merged_999113,5611,413688_merged_1009293
b_336,16,Forest Glen,muwtf_merged_999113,1611,415731_merged_1011060
a_935,35,Eastbridge to Conestoga Mall,a_merged_999103,3511,419287_merged_1005024
a_803,8,University via Franklin & Westmount,muwtf_merged_999106,803,426866_merged_1004986
b_5332,53,Hespeler Terminal,muwtf_merged_999113,5301,413782_merged_1010745
a_233,15,Frederick,muwtf_merged_999106,1501,415306_merged_1000722
a_801,8,University via Weber,muwtf_merged_999106,808,426714_merged_1002112
a_9977,9977,CHCI-Laurentian,muwtf_merged_999106,997701,414038_merged_1002184
a_1131,20,Victoria Hills to Highland Hills Mall,s_merged_999107,2001,420125_merged_999562
b_5532,55,St. Andrews,a_merged_999110,5500,419712_merged_1008723
b_5531,55,St. Andrews,a_merged_999110,5500,419693_merged_1005972
a_1233,27,Chicopee,muwtf_merged_999106,2701,415160_merged_999782
a_231,15,Frederick via Centennial,muwtf_merged_999106,1502,415363_merged_1000002
a_5203,52,Fairview Park,a_merged_999103,5201,418714_merged_1001870
a_5133,51,Hespeler Road to Ainslie Terminal,a_merged_999103,5111,418751_merged_1001362
a_1001,17,Heritage Park,a_merged_999103,1700,418607_merged_1002784
b_707,7,A Fairview Park via Connaught,a_merged_999110,715,418489_merged_1009320
a_2532,25,Queen South,a_merged_999103,2501,418039_merged_1002197
b_803,8,University via Courtland & Weber,s_merged_999114,801,425524_merged_1011333
a_1131,20,Victoria Hills to Downtown,a_merged_999103,2011,417894_merged_1005360
a_1031,110,Conestoga College via Pioneer Plaza,muwtf_merged_999106,11012,416038
a_1033,110,Conestoga College via Pioneer Plaza,muwtf_merged_999106,11012,416039
a_756,7,B Fairview Park via Weber,muwtf_merged_999106,711,414405_merged_1003351
b_301,3,Ottawa South,a_merged_999110,300,417538_merged_1011818
a_1232,10,Conestoga College via Bechtel,s_merged_999107,1002,420189_merged_1005160
b_133,25,Queen South,a_merged_999110,2501,418041_merged_1012192
a_9973,9973,HHSS-Erinbrook,muwtf_merged_999106,997301,414042_merged_1000755
a_1032,110,Fairview Park via Pioneer Plaza,muwtf_merged_999106,11002,416030
a_1032,110,Conestoga College via Pioneer Plaza,muwtf_merged_999106,11012,416031
a_1031,110,Conestoga College via Pioneer Plaza,muwtf_merged_999106,11012,416032
a_1033,110,Conestoga College via Pioneer Plaza,muwtf_merged_999106,11012,416033
a_133,1,Stanley Park via River,a_merged_999103,101,417597_merged_1004319
a_805,8,University via Franklin/East & Westmount,muwtf_merged_999106,805,426890_merged_1002897
a_1033,110,Conestoga College via Pioneer Plaza,muwtf_merged_999106,11012,416036
a_1032,110,Conestoga College via Pioneer Plaza,muwtf_merged_999106,11012,416037
b_715,7,C Conestoga Mall,muwtf_merged_999113,701,414286_merged_1007949
a_1731,17,Fairview Park,muwtf_merged_999106,1701,414846_merged_1003853
a_8002,200,iXpress to Conestoga Mall,muwtf_merged_999106,20001,415872_merged_1005778
a_501,5,Uptown,s_merged_999107,511,420669_merged_999706
b_9804,9804,Langs AM,muwtf_merged_999113,980403,416593_merged_1006956
a_807,8,University via Courtland & Weber,a_merged_999103,801,426059_merged_1003406
b_8024,200,iXpress to Ainslie Terminal,muwtf_merged_999113,20011,415943_merged_1009996
b_8025,200,iXpress to Conestoga Mall,muwtf_merged_999113,20001,415883_merged_1007968
b_801,8,University via Franklin/East & Westmount,s_merged_999114,805,425556_merged_1008377
a_8022,200,iXpress to Ainslie Terminal,muwtf_merged_999106,20011,415903_merged_1005596
a_132,25,Queen South,a_merged_999103,2501,418049_merged_1005407
a_702,7,A Fairview Park via Connaught,muwtf_merged_999106,714,414438_merged_999544
b_932,5,Erb West,muwtf_merged_999113,501,415587_merged_1010207
a_803,8,Fairview via Westmount & Franklin TA,muwtf_merged_999106,821,426914_merged_1003298
b_801,8,Fairview via Westmount & Franklin TA,muwtf_merged_999113,821,426912_merged_1010081
a_804,8,Fairview via Franklin TR,a_merged_999103,815,426163_merged_1001242
b_5533,59,Christopher,a_merged_999110,5900,419549_merged_1012540
b_1233,12,Conestoga Mall,s_merged_999114,1201,420218_merged_1011688
b_935,13,Laurelwood,muwtf_merged_999113,1301,416246_merged_1012467
b_1181,11,Country Hills Sunday,s_merged_999114,1102,420093_merged_1007156
b_1181,20,Victoria Hills to Downtown,s_merged_999114,2011,420140_merged_1010635
a_5136,71,Melran on Detour,muwtf_merged_999106,7101,414070_merged_1002607
b_2235,22,Laurentian West to Downtown,muwtf_merged_999113,2212,416774_merged_1006403
b_8003,200,iXpress to Conestoga Mall,a_merged_999110,20001,419606_merged_1008433
b_702,7,B Fairview Park via Weber,a_merged_999110,713,418522_merged_1010175
a_805,8,University via Franklin & Westmount,muwtf_merged_999106,803,426856_merged_1001510
a_5132,65,Fisher Mills on detour,muwtf_merged_999106,6501,413858_merged_1000922
b_5832,58,Elmwood,muwtf_merged_999113,5800,416531_merged_1011231
b_1331,13,Laurelwood to UW,muwtf_merged_999113,1311,416283_merged_1006174
b_1285,12,Fairview Park,s_merged_999114,1211,420240_merged_1007693
a_1032,10,Conestoga College via Bechtel,muwtf_merged_999106,1002,415774_merged_1004767
b_8026,200,iXpress to Conestoga Mall,muwtf_merged_999113,20001,415893_merged_1011457
b_1231,12,Fairview Park,muwtf_merged_999113,1211,414718_merged_1008455
