stop_lat,stop_lon,stop_id,stop_name
43.5102,-80.5244,3758,Frobisher / Superior
43.5078,-80.4974,3751,University / Woolwich Place
43.5108,-80.4975,3750,University / New Bedford
43.5189,-80.5087,3753,University / Country Squire
43.518,-80.5028,3752,University / Sportsplex
43.5146,-80.5195,3755,Northfield / Toman
43.5172,-80.5179,3754,Northfield / University
43.5119,-80.5233,3757,Frobisher / Bridge
43.5119,-80.5213,3756,Northfield / Bridge
43.366572,-80.320853,2190,George / James
43.368322,-80.324853,2191,Sunset / Saxony
43.370475,-80.326118,2192,Sunset / Bismark
43.37258,-80.327552,2193,Sunset / Blair Road Ps
43.373758,-80.330522,2194,Sunset / Clearview
43.372443,-80.33362,2195,Clearview / Blair
43.370847,-80.332097,2196,Blair / Bismark
43.369503,-80.330407,2197,Blair / Kenmore
43.367765,-80.32828,2198,Blair / Sherwood
43.366732,-80.327037,2199,Blair / Grant
43.363907,-80.322992,2200,Blair / James
43.361612,-80.32138,2201,Blenheim / Lansdowne
43.361587,-80.325605,2202,Blenheim / Vair
43.359542,-80.332065,2203,Parkwood / Blenheim
43.357222,-80.332275,2204,Salisbury / Corwin
43.356268,-80.333147,2205,Hillcrest / Highland
43.353757,-80.332297,2206,Hillcrest / Churchill
43.35389,-80.330515,2207,Churchill / Westgate
43.354722,-80.326698,2208,Churchill / Forest
43.354715,-80.325333,2209,Churchill / Barrie
43.436422,-80.314835,1301,Fisher Mills / Fearnwood
43.478127,-80.471872,2428,Bridge / Tagge
43.4777,-80.466575,2429,Stanley / Schueller
43.467846,-80.484189,2420,Lancaster / Arnold
43.469186,-80.484229,2421,Lancaster / Ash
43.47109,-80.484275,2422,Lancaster / Union
43.47526,-80.484337,2423,Lancaster / Hamel
43.481807,-80.48285,2424,Lancaster / Bridge
43.481207,-80.480298,2425,Bridge / Tyson
43.480457,-80.478282,2426,Bridge / Bloomingdale
43.478953,-80.474195,2427,Bridge / Schweitzer
43.448,-80.5725,3689,656 Erb St.
43.4472,-80.5691,3688,634 Erb St.
43.4689,-80.5391,3683,University / Seagram
43.4752,-80.5282,3682,Hazel / University
43.4895,-80.4943,3681,Bridge / University
43.4921,-80.4971,3680,Bridge / Crimson
43.448,-80.5666,3687,Erb / Erbsville
43.4509,-80.5583,3686,Erb / Beechwood
43.4479,-80.5726,3685,Erbsville / Erb
43.4516,-80.5564,3684,Erb / Beechwood
43.472737,-80.547978,2518,Uw - University Club
43.473932,-80.546227,2519,Uw - B.C. Matthews Hall
43.451332,-80.572178,1980,Erbsville / Brandenburg
43.477972,-80.537435,2514,Columbia / Lester
43.4686,-80.540275,2515,Uw - South Campus Hall
43.467795,-80.543577,2516,Uw - Environment 2
43.470633,-80.5444,2517,Uw - Biology 2
43.481632,-80.527198,2510,Columbia / Spruce
43.480703,-80.529687,2511,Columbia / Holly
43.479797,-80.532193,2512,Columbia / Hazel
43.478785,-80.535027,2513,Columbia / Albert
43.422137,-80.449348,2734,Traynor / Balfour
43.423595,-80.447118,2735,Traynor / Wilson
43.422207,-80.449305,2736,Traynor / Balfour
43.421325,-80.452087,2737,Traynor / Belwood
43.423793,-80.458998,2730,Vanier / Shelley
43.4217,-80.456727,2731,Vanier / Siebert
43.420568,-80.454853,2732,Traynor / Vanier
43.421303,-80.451867,2733,Traynor / Belwood
43.420688,-80.45485,2738,Traynor / Vanier
43.421843,-80.45676,2739,Vanier / Siebert
43.421942,-80.38379,3531,Maple Grove / Saltsman
43.409504843,-80.39332,3530,Sportsworld Crossing
43.389377,-80.360732,3532,Rose / Lowther
43.358803,-80.310165,3535,Main / Harris
43.353643,-80.322523,3534,St Andrews / Gilholm
43.386303,-80.32104,3537,Hespeler / Can-Amera
43.359972,-80.311453,3536,Wellington / Dickson
43.383093,-80.32048,3539,Hespeler / Isherwood
43.386365,-80.321347,3538,Hespeler / Can-Amera
43.389415,-80.456202,1814,Biehn / Kilkerran
43.38639,-80.456198,1815,Biehn / Kilkerran
43.385542,-80.458825,1816,End Of Biehn Dr
43.386713,-80.455763,1817,Biehn / Caryndale
43.39721,-80.457932,1810,Old Huron / Maxwell
43.396023,-80.4555,1811,Biehn / Carlyle
43.3944,-80.455552,1812,Biehn / Maxwell
43.392182,-80.455908,1813,Biehn / Marl Meadow
43.389403,-80.456042,1818,Biehn / Robertson
43.391372,-80.455957,1819,Biehn / Marl Meadow
43.471462,-80.592458,1107,Laurelwood / Erbsville
43.367545,-80.308725,1609,Dundas / Cambridge
43.366263,-80.306508,1608,Dundas / Grantham
43.42294,-80.487324,3229,Ottawa / Strasburg
43.422984,-80.441007,3228,Fairview Park Terminal
43.452757,-80.57191,1979,Erbsville / Path To Lausanne
43.455908,-80.573273,1978,Keats Way / Erbsville
43.4567,-80.571037,1977,Keats Way / Beechwood
43.457638,-80.568322,1976,Keats Way / Leighland
43.456957,-80.564897,1975,Keats Way / Sandford Fleming
43.452625,-80.49812,3226,Victoria / King
43.457883,-80.55867,1973,Keats Way / Fischer-Hallman
43.45291,-80.553685,1972,Fischer-Hallman / Erb
43.453375,-80.551127,1971,Erb / Churchill
43.454637,-80.547535,1970,Erb / Culpepper
43.445132,-80.469868,2848,Weber / Onward
43.444737,-80.465332,2849,Ottawa / Mckenzie
43.446412,-80.475312,2846,Weber / Stirling
43.445533,-80.470935,2847,Weber / Borden
43.448518,-80.480057,2844,Weber / Madison
43.446963,-80.476525,2845,Weber / Fairview
43.451397,-80.48633,2842,Weber / Frederick
43.44908,-80.481287,2843,Weber / Cedar
43.455962,-80.488827,2840,Margaret / Victoria
43.454545,-80.48566,2841,Margaret / Queen
43.417872,-80.534615,3320,Driftwood / Westheights
43.416467,-80.534233,3321,Driftwood / Royal Orchard
43.413483,-80.535675,3322,Driftwood / Parkland
43.412305,-80.537833,3323,Driftwood / Driftwood Park
43.413208,-80.539873,3324,Yellow Birch / Driftwood
43.411948,-80.542053,3325,Yellow Birch / Cedar Crest
43.4114,-80.545153,3326,Yellow Birch / Stonehenge
43.412363,-80.549067,3327,Yellow Birch / Golden Meadow
43.415237,-80.550615,3328,Golden Meadow / Highview
43.415675,-80.54721,3329,Highview / Sugar Maple
43.406412,-80.47482,1775,Strasburg / Bleams
43.407405,-80.475148,1774,Strasburg / Bleams
43.404475,-80.474385,1777,Mcintyre / Strasburg
43.405623,-80.474402,1776,Strasburg / Shoemaker
43.414052,-80.478805,1771,Forest Glen Terminal
43.414213,-80.47885,1770,Forest Glen Terminal
43.410878,-80.476208,1773,Strasburg / Old Country
43.41389,-80.47875,1772,Forest Glen Terminal
43.402877,-80.480323,1779,222 Mcintyre Dr.
43.403002,-80.477342,1778,Mcintyre / Mcbrine
43.496873,-80.515888,2806,Davenport / Path To Anndale
43.356033038,-80.29892697,2312_merged_999110,Cherry Blossom / Fountain
43.402057,-80.51224,2998,Activa / Periwinkle
43.485792,-80.537551,1159,Hazel / Blythwood
43.485729,-80.539087,1158,Hazel / Wildwood
43.402567,-80.510258,2999,Activa / Sweet William
43.491555,-80.537553,1155,Albert / Weber
43.492592,-80.544622,1154,Parkside / Weber
43.487638,-80.541565,1157,Albert / Quiet
43.490535,-80.539497,1156,Albert / Longwood
43.48878,-80.549708,1151,Cedarbrae / Glen Manor
43.487868,-80.550127,1150,Cedarbrae / Heasley Park Tr
43.490203,-80.545167,1153,Parkside / Glenelm
43.489614,-80.54806,1152,Cedarbrae / Sprucehill
43.497722,-80.518018,2807,Davenport / Kidsability
43.411707,-80.473785,3038,Old Country / Century Hill
43.411113,-80.471162,3039,Path To Sandsprings
43.423214,-80.441326,1551,Fairview Park Terminal
43.417307,-80.310245,1550,Franklin / Holiday Inn
43.422908,-80.440976,1553,Fairview Park Terminal
43.423105,-80.441178,1552,Fairview Park Terminal
43.42313,-80.441286,1555,Fairview Park Terminal
43.423019,-80.441131,1554,Fairview Park Terminal
43.423055,-80.440865,1557,Fairview Park Terminal
43.423247,-80.441435,1556,Fairview Park Terminal
43.423065,-80.44293,1559,Kingsway / Wilson
43.423331,-80.441231,1558,Fairview Park Terminal
43.410458,-80.522233,2992,David Bergey / Ottawa
43.406785,-80.518875,2993,David Bergey / Peach Blossom
43.405392,-80.518447,2994,David Bergey / Activa
43.403375,-80.520135,2995,Activa / Isaiah
43.402748,-80.518067,2996,Activa / Snowdrop
43.40248,-80.514448,2997,Activa / Reistview
43.412582,-80.517777,2990,Ottawa / International
43.493468,-80.512032,2804,Lexington / Anndale
43.411965,-80.519432,2991,Path To Wake Robin
43.41136,-80.476057,3036,Old Country / Strasburg
43.411282,-80.475882,3037,Old Country / Strasburg
43.413895,-80.472605,3030,Country Hill / Old Country
43.41414,-80.470667,3031,Country Hill / Coach Hill
43.494327,-80.51354,2805,Davenport / Foxhunt
43.463842,-80.52188,1906,Uptown Waterloo
43.419323,-80.325685,1277_merged_999117,Holiday Inn Terminal
43.41349,-80.467383,3032,Country Hill / Four Seasons
43.464092,-80.521908,1907,Uptown Waterloo
43.410978,-80.466968,3033,Country Hill / Martinglen
43.460267,-80.518952,1904,King / Allen
43.461687,-80.521262,1905,King / William
43.458475,-80.515339,1902,King / Union
43.45938,-80.517412,1903,King / John
43.457088,-80.511103,1900,Grand River Hospital
43.38815,-80.341618,1399,Dunbar / Grand Valley
43.387712,-80.3377,1398,Dunbar / St George
43.38811,-80.335402,1397,Dunbar / Pine
43.388525,-80.333057,1396,Dunbar / Eastdowns
43.388882,-80.330847,1395,Dunbar / Biscayne
43.389357,-80.328913,1394,Dunbar / Daleview
43.390008,-80.32668,1393,Dunbar / Briarwood
43.39043,-80.324102,1392,Dunbar / Hespeler
43.391276,-80.320195,1391,Cambridge Centre Terminal
43.391317,-80.319935,1390,Cambridge Centre Terminal
43.584,-80.5621,3812,Arthur / Southfield
43.5891,-80.5614,3813,Arthur / Oriole
43.5769,-80.563,3810,Arthur / Union
43.5821,-80.5624,3811,Arthur / Earl Martin
43.598,-80.5592,3816,Arthur / Wyatt
43.5993,-80.5581,3817,Arthur / Mill
43.5945,-80.5607,3814,Arthur / Brubacher
43.5967,-80.5601,3815,Arthur / Park
43.6001,-80.5592,3818,Church / Maple
43.6001,-80.5633,3819,Snyder / Church
43.401157,-80.327595,1425,Langs / Hespeler
43.46496,-80.461597,2331,Victoria / Turner
